year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,year_month,year_month_key,delayed_rate,cancellation_rate,avg_delay_min_per_delayed_flight,carrier_cause_share_ct,weather_cause_share_ct,nas_cause_share_ct,security_cause_share_ct,late_aircraft_cause_share_ct,carrier_cause_share_min,weather_cause_share_min,nas_cause_share_min,security_cause_share_min,late_aircraft_cause_share_min,cause_counts_exceed_delayed_flag
2020,12,G4,Allegiant Air,OAK,"Oakland, CA: Metropolitan Oakland International",36.0,5.0,1.82,1.0,0.3,0.0,1.89,1.0,0.0,314.0,117.0,18.0,10.0,0.0,169.0,2020-12-01,2020-12,0.1388888888888889,0.02702702702702703,62.8,0.364,0.2,0.06,0.0,0.378,0.37261146496815284,0.05732484076433121,0.03184713375796178,0.0,0.5382165605095541,True
2020,12,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",507.0,63.0,15.91,3.37,30.38,0.0,13.34,7.0,0.0,2759.0,705.0,229.0,886.0,0.0,939.0,2020-12-01,2020-12,0.1242603550295858,0.013618677042801557,43.79365079365079,0.25253968253968256,0.053492063492063494,0.4822222222222222,0.0,0.21174603174603174,0.25552736498731426,0.0830010873504893,0.32113084450888,0.0,0.34034070315331644,False
2020,12,YV,Mesa Airlines Inc.,SAN,"San Diego, CA: San Diego International",13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,2020-12-01,2020-12,0.07692307692307693,0.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2020,12,YV,Mesa Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",57.0,6.0,3.76,0.0,0.27,0.0,1.96,0.0,0.0,723.0,381.0,0.0,16.0,0.0,326.0,2020-12-01,2020-12,0.10526315789473684,0.0,120.5,0.6266666666666666,0.0,0.045000000000000005,0.0,0.32666666666666666,0.5269709543568465,0.0,0.022130013831258646,0.0,0.4508990318118949,False
2020,12,YX,Republic Airline,HDN,"Hayden, CO: Yampa Valley",13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,2020-12-01,2020-12,0.07692307692307693,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2020,12,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",112.0,5.0,3.05,0.0,0.0,1.0,0.95,0.0,0.0,151.0,88.0,0.0,0.0,22.0,41.0,2020-12-01,2020-12,0.044642857142857144,0.0,30.2,0.61,0.0,0.0,0.2,0.19,0.5827814569536424,0.0,0.0,0.1456953642384106,0.271523178807947,False
2020,12,OO,SkyWest Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International",28.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,126.0,95.0,0.0,0.0,0.0,31.0,2020-12-01,2020-12,0.14285714285714285,0.0,31.5,0.75,0.0,0.0,0.0,0.25,0.753968253968254,0.0,0.0,0.0,0.24603174603174602,False
2019,12,UA,United Air Lines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",66.0,10.0,1.72,0.37,2.25,0.0,5.66,0.0,0.0,669.0,82.0,22.0,185.0,0.0,380.0,2019-12-01,2019-12,0.15151515151515152,0.0,66.9,0.172,0.037,0.225,0.0,0.5660000000000001,0.12257100149476831,0.03288490284005979,0.2765321375186846,0.0,0.5680119581464873,False
2020,12,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31.0,3.0,1.97,0.0,1.03,0.0,0.0,1.0,0.0,139.0,122.0,0.0,17.0,0.0,0.0,2020-12-01,2020-12,0.0967741935483871,0.03125,46.333333333333336,0.6566666666666666,0.0,0.3433333333333333,0.0,0.0,0.8776978417266187,0.0,0.1223021582733813,0.0,0.0,False
2019,12,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",220.0,15.0,6.73,0.66,2.1,0.0,5.51,0.0,2.0,1542.0,461.0,583.0,120.0,0.0,378.0,2019-12-01,2019-12,0.06818181818181818,0.0,102.8,0.4486666666666667,0.044000000000000004,0.14,0.0,0.36733333333333335,0.29896238651102464,0.3780804150453956,0.07782101167315175,0.0,0.245136186770428,False
2019,12,OO,SkyWest Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",126.0,16.0,5.42,0.18,2.8,0.0,7.59,1.0,0.0,696.0,127.0,28.0,104.0,0.0,437.0,2019-12-01,2019-12,0.12698412698412698,0.007874015748031496,43.5,0.33875,0.01125,0.175,0.0,0.474375,0.1824712643678161,0.040229885057471264,0.14942528735632185,0.0,0.6278735632183908,False
2019,12,WN,Southwest Airlines Co.,ORF,"Norfolk, VA: Norfolk International",238.0,48.0,25.02,0.0,1.74,0.0,21.24,1.0,1.0,2145.0,926.0,0.0,82.0,0.0,1137.0,2019-12-01,2019-12,0.20168067226890757,0.004166666666666667,44.6875,0.52125,0.0,0.03625,0.0,0.44249999999999995,0.4317016317016317,0.0,0.03822843822843823,0.0,0.5300699300699301,False
2019,12,G4,Allegiant Air,SAV,"Savannah, GA: Savannah/Hilton Head International",75.0,20.0,0.97,1.48,6.17,1.38,10.0,0.0,0.0,1771.0,60.0,48.0,252.0,28.0,1383.0,2019-12-01,2019-12,0.26666666666666666,0.0,88.55,0.0485,0.074,0.3085,0.06899999999999999,0.5,0.03387916431394692,0.02710333145115754,0.1422924901185771,0.015810276679841896,0.7809147374364765,False
2019,12,EV,ExpressJet Airlines LLC,SAV,"Savannah, GA: Savannah/Hilton Head International",90.0,33.0,8.73,2.32,15.47,0.0,6.48,4.0,0.0,1957.0,620.0,139.0,639.0,0.0,559.0,2019-12-01,2019-12,0.36666666666666664,0.0425531914893617,59.303030303030305,0.2645454545454546,0.0703030303030303,0.4687878787878788,0.0,0.19636363636363638,0.3168114460909555,0.07102708226877874,0.32652018395503324,0.0,0.2856412876852325,False
2019,12,DL,Delta Air Lines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",92.0,21.0,10.87,0.0,4.02,0.0,6.11,0.0,0.0,1078.0,636.0,0.0,115.0,0.0,327.0,2019-12-01,2019-12,0.22826086956521738,0.0,51.333333333333336,0.5176190476190475,0.0,0.19142857142857142,0.0,0.29095238095238096,0.5899814471243042,0.0,0.10667903525046382,0.0,0.3033395176252319,False
2020,12,B6,JetBlue Airways,SYR,"Syracuse, NY: Syracuse Hancock International",43.0,6.0,2.42,0.14,1.47,0.0,1.98,0.0,1.0,454.0,110.0,11.0,80.0,0.0,253.0,2020-12-01,2020-12,0.13953488372093023,0.0,75.66666666666667,0.4033333333333333,0.023333333333333334,0.245,0.0,0.33,0.2422907488986784,0.024229074889867842,0.1762114537444934,0.0,0.5572687224669604,True
2020,12,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",30.0,5.0,1.54,0.84,1.62,0.0,1.0,2.0,0.0,424.0,268.0,58.0,59.0,0.0,39.0,2020-12-01,2020-12,0.16666666666666666,0.0625,84.8,0.308,0.16799999999999998,0.324,0.0,0.2,0.6320754716981132,0.13679245283018868,0.1391509433962264,0.0,0.09198113207547169,False
2020,12,DL,Delta Air Lines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",478.0,41.0,23.12,0.0,10.5,0.0,7.37,3.0,0.0,2492.0,1650.0,0.0,383.0,0.0,459.0,2020-12-01,2020-12,0.08577405857740586,0.006237006237006237,60.78048780487805,0.5639024390243903,0.0,0.25609756097560976,0.0,0.1797560975609756,0.6621187800963082,0.0,0.15369181380417335,0.0,0.18418940609951845,False
2020,12,NK,Spirit Air Lines,ACY,"Atlantic City, NJ: Atlantic City International",169.0,9.0,1.06,0.89,2.86,0.0,4.2,5.0,3.0,1053.0,53.0,31.0,426.0,0.0,543.0,2020-12-01,2020-12,0.05325443786982249,0.02824858757062147,117.0,0.11777777777777779,0.09888888888888889,0.31777777777777777,0.0,0.4666666666666667,0.050332383665717,0.029439696106362774,0.4045584045584046,0.0,0.5156695156695157,True
